inner_fold,threshold,tipo,accuracy,balanced_accuracy,f1_macro,outer_fold
todos,0.51,busca_limiar,0.7956218452047111,0.8018511311258976,0.7956195066290888,2
todos,0.41,busca_limiar,0.79768998878295,0.8012421116082158,0.7975349245137306,2
todos,0.4,busca_limiar,0.7966909702748177,0.7999059032672163,0.7964893207395185,2
todos,0.55,busca_limiar,0.7923969433538979,0.7998481769000652,0.7923314817092937,2
todos,0.52,busca_limiar,0.7930279024116658,0.7995873253949461,0.7930165257782542,2
todos,0.54,busca_limiar,0.7920288839035333,0.7992144940836982,0.7919837967213024,2
todos,0.71,busca_limiar,0.7854739203589456,0.7990290863880689,0.7837705875201763,2
todos,0.53,busca_limiar,0.7920464105440269,0.7989267275399734,0.7920203237943347,2
todos,0.39,busca_limiar,0.7922917835109367,0.7948706445295057,0.7919844779895286,2
todos,0.72,busca_limiar,0.7793395961862031,0.7934963113473434,0.7772775133247188,2
todos,0.38,busca_limiar,0.7850883342680874,0.7867609994917195,0.7845864561806407,2
todos,0.73,busca_limiar,0.7687885586090858,0.7838542434067894,0.7660796010865363,2
todos,0.37,busca_limiar,0.78125,0.7822056844489738,0.7805567057615524,2
todos,0.36,busca_limiar,0.7794622826696579,0.779757312794326,0.7785644913193412,2
todos,0.35,busca_limiar,0.7768332865956253,0.7767318606773519,0.775795929851141,2
todos,0.33999999999999997,busca_limiar,0.7744321368480089,0.7740256066204987,0.7732784739347455,2
todos,0.74,busca_limiar,0.7564147504206393,0.7725399138200579,0.7528015717136238,2
todos,0.32999999999999996,busca_limiar,0.7711721817162086,0.7704374250147551,0.7698833352715172,2
todos,0.75,busca_limiar,0.7497371003925968,0.7664430445059218,0.7455570753591434,2
todos,0.32,busca_limiar,0.7644594784071789,0.7630713889235283,0.7628729271811059,2
todos,0.31,busca_limiar,0.7545569265283231,0.7522151522416525,0.7524642997795243,2
todos,0.3,busca_limiar,0.7460214526079642,0.7428486377243961,0.7434146026903745,2
1,0.5,limiar_padrao,0.7838765887658876,0.7974515527341405,0.7805705930207301,3
2,0.5,limiar_padrao,0.8486221009549796,0.8616751136590797,0.8484525181920598,3
3,0.5,limiar_padrao,0.5406119194737892,0.5206662172865932,0.514512174485487,3
todos,0.6599999999999999,busca_limiar,0.7389862706156636,0.7541944452424398,0.738246187900549,3
todos,0.65,busca_limiar,0.7391762369398153,0.7537129296771852,0.7385943424552311,3
todos,0.6699999999999999,busca_limiar,0.737242034366635,0.7530673251911901,0.7363286997862555,3
todos,0.64,busca_limiar,0.73772558500993,0.7515722487151879,0.7372795153517627,3
todos,0.62,busca_limiar,0.7381227873240653,0.7511024790228578,0.7378294204565257,3
todos,0.6799999999999999,busca_limiar,0.7345652361626802,0.751081442260475,0.7334286701594201,3
todos,0.61,busca_limiar,0.7383991019773768,0.7509744363858016,0.7381661972753382,3
todos,0.63,busca_limiar,0.7366721353941801,0.7500065635326723,0.7363156813930893,3
todos,0.6,busca_limiar,0.7365339780675244,0.7487636570398074,0.7363423698996223,3
todos,0.69,busca_limiar,0.729608842068906,0.746954501514212,0.7281512806211751,3
todos,0.59,busca_limiar,0.7309904153354633,0.7423760274054473,0.7308820419093964,3
todos,0.5800000000000001,busca_limiar,0.7258440549175373,0.7363497797923917,0.7257990308565428,3
todos,0.5700000000000001,busca_limiar,0.718901649253087,0.7282720235848094,0.7188982284018397,3
todos,0.7,busca_limiar,0.7056558155599689,0.7257686627516994,0.7026530035899812,3
todos,0.42,busca_limiar,0.7283654261290045,0.7251808684458657,0.7250863775479257,3
todos,0.43,busca_limiar,0.7276746394957258,0.7251300638765802,0.7247289836887102,3
todos,0.44,busca_limiar,0.7254468526034021,0.7235094704070291,0.7227955383450287,3
todos,0.41,busca_limiar,0.7274328641740783,0.7234987216257902,0.7237297249567471,3
