Coleta,Dia,Vaso,Tempo,Soil,Soil_indice_0_1,faixa_soil,Classe,predito,prob_sem_nematoide,acertou
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,560.41,157.0,0.0525252525252525,seco,0,0,0.4499871597249941,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,560.65,154.0,0.0515151515151515,seco,0,0,0.3472332408185208,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,560.88,156.0,0.0521885521885521,seco,0,0,0.462475257821348,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,561.12,156.0,0.0521885521885521,seco,0,0,0.4633697076249197,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,561.36,157.0,0.0525252525252525,seco,0,0,0.4644848801627919,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,561.6,155.0,0.0518518518518518,seco,0,0,0.3713793152212007,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,561.83,156.0,0.0521885521885521,seco,0,0,0.4645747224458356,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,562.07,163.0,0.0545454545454545,seco,0,1,0.6640691500403186,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,562.3,154.0,0.0515151515151515,seco,0,0,0.4511669665527983,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,562.55,157.0,0.0525252525252525,seco,0,0,0.4469536035627879,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,562.79,154.0,0.0515151515151515,seco,0,0,0.4536582899390084,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,563.02,157.0,0.0525252525252525,seco,0,0,0.4764289036796808,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,563.26,159.0,0.0531986531986532,seco,0,0,0.4683972778070348,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,563.5,157.0,0.0525252525252525,seco,0,0,0.4721862128886026,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,563.78,157.0,0.0525252525252525,seco,0,0,0.4637041682819257,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,564.02,155.0,0.0518518518518518,seco,0,0,0.4528467199651918,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,564.25,156.0,0.0521885521885521,seco,0,0,0.4495615249556183,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,564.49,155.0,0.0518518518518518,seco,0,0,0.4554894566089636,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,564.72,161.0,0.0538720538720538,seco,0,0,0.4663862274509638,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,564.96,154.0,0.0515151515151515,seco,0,0,0.3668827715621772,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,565.35,155.0,0.0518518518518518,seco,0,0,0.4577499930074311,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,565.9,151.0,0.0505050505050505,seco,0,0,0.3346798253321734,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,566.3,154.0,0.0515151515151515,seco,0,0,0.4316533719620638,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,566.54,152.0,0.0508417508417508,seco,0,0,0.4385447142447914,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,566.77,159.0,0.0531986531986532,seco,0,0,0.4860593462984414,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,567.17,156.0,0.0521885521885521,seco,0,0,0.465847940509639,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,567.42,155.0,0.0518518518518518,seco,0,0,0.4642709507639085,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,567.83,154.0,0.0515151515151515,seco,0,0,0.4511753796834932,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,568.14,155.0,0.0518518518518518,seco,0,0,0.4588865239483098,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,568.39,155.0,0.0518518518518518,seco,0,0,0.4701893368240723,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,568.64,156.0,0.0521885521885521,seco,0,0,0.4678605749547123,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,568.9,156.0,0.0521885521885521,seco,0,0,0.4792833934810321,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,569.15,152.0,0.0508417508417508,seco,0,0,0.4242084374619943,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,569.4,159.0,0.0531986531986532,seco,0,0,0.4694550334962055,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,569.66,158.0,0.0528619528619528,seco,0,1,0.5036934690717977,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,569.91,160.0,0.0535353535353535,seco,0,1,0.507310824632999,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,570.17,154.0,0.0515151515151515,seco,0,0,0.4666686042719834,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,570.43,158.0,0.0528619528619528,seco,0,0,0.4881552046400467,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,570.68,159.0,0.0531986531986532,seco,0,0,0.4744522928199782,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,570.93,155.0,0.0518518518518518,seco,0,0,0.4670140599027325,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,571.19,150.0,0.0501683501683501,seco,0,0,0.3594546484341975,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,571.49,158.0,0.0528619528619528,seco,0,0,0.4199992508524556,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,571.75,158.0,0.0528619528619528,seco,0,0,0.4217475052688032,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,572.0,159.0,0.0531986531986532,seco,0,0,0.3447541555584623,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,572.25,160.0,0.0535353535353535,seco,0,1,0.5156994723245446,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,572.56,170.0,0.0569023569023569,seco,0,1,0.570071342223654,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,572.81,153.0,0.0511784511784511,seco,0,0,0.3651334302039948,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,573.06,156.0,0.0521885521885521,seco,0,0,0.4753367656789217,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,573.31,153.0,0.0511784511784511,seco,0,0,0.46089990853464,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,573.57,156.0,0.0521885521885521,seco,0,1,0.5088914169944577,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,573.82,161.0,0.0538720538720538,seco,0,1,0.5268825001995308,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,574.08,153.0,0.0511784511784511,seco,0,0,0.4837473528672683,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,574.33,160.0,0.0535353535353535,seco,0,1,0.5162481518150996,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,574.6,161.0,0.0538720538720538,seco,0,1,0.5229901458043079,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,574.85,155.0,0.0518518518518518,seco,0,0,0.4876602524402528,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,575.11,159.0,0.0531986531986532,seco,0,0,0.4095543097737318,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,575.36,155.0,0.0518518518518518,seco,0,0,0.4977092071892075,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,575.62,158.0,0.0528619528619528,seco,0,1,0.5132204681911223,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,575.91,154.0,0.0515151515151515,seco,0,0,0.4917256717353331,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,576.16,153.0,0.0511784511784511,seco,0,0,0.439864866455681,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,576.42,155.0,0.0518518518518518,seco,0,0,0.4675428142805983,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,576.67,158.0,0.0528619528619528,seco,0,0,0.4820022288500089,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,576.98,153.0,0.0511784511784511,seco,0,0,0.4411331043905857,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,577.23,153.0,0.0511784511784511,seco,0,0,0.3699456510478638,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,577.49,159.0,0.0531986531986532,seco,0,1,0.5236934348815244,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,577.74,153.0,0.0511784511784511,seco,0,0,0.4771757024145305,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,578.0,158.0,0.0528619528619528,seco,0,1,0.6348731961491977,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,578.25,161.0,0.0538720538720538,seco,0,1,0.5355067913490982,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,578.5,155.0,0.0518518518518518,seco,0,0,0.4867090084681755,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,578.75,156.0,0.0521885521885521,seco,0,1,0.5047596069586934,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,579.01,155.0,0.0518518518518518,seco,0,0,0.3887175443654866,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,579.29,156.0,0.0521885521885521,seco,0,1,0.5068680725671589,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,579.54,155.0,0.0518518518518518,seco,0,0,0.3808000808193005,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,579.79,152.0,0.0508417508417508,seco,0,0,0.4635429327243427,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,580.04,156.0,0.0521885521885521,seco,0,0,0.4952461907452771,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,580.35,159.0,0.0531986531986532,seco,0,0,0.4908362071992382,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,580.6,157.0,0.0525252525252525,seco,0,1,0.5210731870092209,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,580.85,154.0,0.0515151515151515,seco,0,0,0.47368117199937,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,581.27,144.0,0.0481481481481481,seco,0,0,0.4634745866232131,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,581.84,155.0,0.0518518518518518,seco,0,0,0.4933958482617569,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,582.26,154.0,0.0515151515151515,seco,0,1,0.510283226458402,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,582.56,160.0,0.0535353535353535,seco,0,0,0.4502021773888076,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,582.81,159.0,0.0531986531986532,seco,0,0,0.4353973055114716,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,583.07,158.0,0.0528619528619528,seco,0,1,0.5470715628219154,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,583.32,161.0,0.0538720538720538,seco,0,1,0.5580429050954651,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,583.61,159.0,0.0531986531986532,seco,0,1,0.5407578719655167,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,583.86,160.0,0.0535353535353535,seco,0,1,0.5514113226492914,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,584.12,157.0,0.0525252525252525,seco,0,0,0.4476517458861253,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,584.37,156.0,0.0521885521885521,seco,0,0,0.4549862509575489,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,584.63,153.0,0.0511784511784511,seco,0,1,0.5206710598832279,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,584.88,154.0,0.0515151515151515,seco,0,1,0.533173453007965,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,585.13,148.0,0.0494949494949494,seco,0,0,0.4933160689685205,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,585.38,154.0,0.0515151515151515,seco,0,1,0.5218095306477372,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,585.64,154.0,0.0515151515151515,seco,0,1,0.5125364878348252,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,585.93,157.0,0.0525252525252525,seco,0,1,0.5664879603496916,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,586.18,152.0,0.0508417508417508,seco,0,0,0.4150481728761576,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,586.43,157.0,0.0525252525252525,seco,0,1,0.5529374153444953,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,586.68,158.0,0.0528619528619528,seco,0,1,0.5385488683384184,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,586.99,155.0,0.0518518518518518,seco,0,1,0.5381271423801888,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,587.24,156.0,0.0521885521885521,seco,0,1,0.5390393824073682,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,587.5,157.0,0.0525252525252525,seco,0,1,0.5394528883596812,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,587.75,161.0,0.0538720538720538,seco,0,1,0.5562187420372622,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,588.01,158.0,0.0528619528619528,seco,0,1,0.5499543977670456,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,588.26,152.0,0.0508417508417508,seco,0,0,0.4069495976535525,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,588.51,155.0,0.0518518518518518,seco,0,0,0.4337815461646441,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,588.76,154.0,0.0515151515151515,seco,0,1,0.5428966697739179,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,589.02,153.0,0.0511784511784511,seco,0,1,0.5343339155977193,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,589.31,162.0,0.0542087542087542,seco,0,0,0.4501374463394652,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,589.57,161.0,0.0538720538720538,seco,0,1,0.5488938076983996,False
