Coleta,Dia,Vaso,Tempo,Classe,predito,prob_sem_nematoide,acertou
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,479.71,0,0,0.32749796585220975,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,475.99,1,1,0.9890061256870392,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,204.78,0,0,0.023654125906272076,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,289.9,0,0,0.2456305234700947,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,702.45,1,1,0.9295543593415555,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,282.78,1,1,0.973702108475937,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,522.59,1,1,0.9798782526523032,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,158.29,0,0,0.3000187717958157,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,551.18,0,0,0.4245756977107717,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,436.78,1,1,0.948684350866021,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,417.83,1,1,0.9787019222843485,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,685.71,0,0,0.4322277043007187,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,476.05,1,1,0.953294174063969,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,182.81,0,0,0.05123705156990266,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,223.47,0,0,0.1424525308427007,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,543.88,1,1,0.9477303398447458,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,153.12,1,1,0.9991087918709947,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,469.67,0,0,0.1853113222203858,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,342.91,1,1,0.5401729195533825,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,338.39,1,1,0.9591310539894926,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,567.58,0,0,0.40702330893126765,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,424.91,1,1,0.9532142449481354,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,151.15,0,0,0.024637240027716913,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,219.11,1,0,0.43281897372446454,False
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,206.0,1,1,0.9842162744869912,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,179.85,1,1,0.9790633559446961,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,700.0,1,1,0.8992983703068089,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,150.66,0,1,0.6022025821904463,False
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,680.81,1,1,0.9007940985367275,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,457.52,1,1,0.9934373273086534,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,360.36,0,0,0.17964307575555546,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,110.66,0,0,0.09308537577239458,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,729.87,1,1,0.9408126594576482,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,218.09,0,0,0.017065621880302452,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,503.09,1,1,0.9526908701380825,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,405.43,1,1,0.6386905450129877,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,349.4,0,0,0.3031456003167466,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,556.93,1,1,0.947893028666434,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,376.7,0,0,0.2625896411496363,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,89.89,0,0,0.08643980410026632,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,414.14,1,1,0.9798130333954597,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,239.76,1,1,0.9545102154330255,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,505.56,1,1,0.9822360214542468,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,479.42,1,1,0.9798130333954597,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,381.46,1,1,0.936673556810982,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,583.87,0,0,0.4060830419847129,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,164.02,1,1,0.9109862687769951,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,664.58,1,1,0.9053971357389077,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,402.5,1,1,0.997895014575928,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,405.28,0,0,0.2706347112367054,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,341.07,0,0,0.11509905583497353,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,400.44,1,1,0.9794908480735051,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,149.55,1,1,0.997425634256526,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,272.03,0,0,0.18916936504344367,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,202.53,0,1,0.5450271686978486,False
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,184.66,0,0,0.014211183681664073,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,367.96,0,0,0.03336085618971217,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,100.54,1,0,0.42883289513654876,False
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,454.66,0,0,0.17422327598656806,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,368.4,0,0,0.27911545611409266,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,647.97,0,0,0.4162286031870111,True
